id_num,edge_id,edge_type
1,22010008,outer
1,22010009,outer
1,22010010,outer
1,22010011,outer
1,22010012,outer
1,22010013,outer
1,22010014,outer
1,22010015,outer
1,22010016,outer
1,22010017,outer
1,22010018,outer
1,22010019,outer
1,22010020,outer
1,22010021,outer
1,22010022,outer
1,22010023,outer
1,22010024,outer
1,22010025,outer
1,22010026,outer
1,22010027,outer
1,22010028,outer
1,22010029,outer
1,22010030,outer
1,22010031,outer
1,22010032,outer
1,22010033,outer
1,22010034,outer
1,22010035,outer
1,22010036,outer
1,22010037,outer
1,22010038,outer
1,22010039,outer
1,22010040,outer
1,22010041,outer
1,22010042,outer
1,22010043,outer
1,22010044,outer
1,22010045,outer
1,22010046,outer
1,22010047,outer
1,22010048,outer
1,22010049,outer
1,22010050,outer
1,22010051,outer
1,22010052,outer
1,22010053,outer
1,22010054,outer
1,22010055,outer
1,22010056,outer
1,22010057,outer
1,22010058,outer
1,22010059,outer
1,22010060,outer
1,22010061,outer
1,22010062,outer
1,22010063,outer
1,22010064,outer
1,22010065,outer
1,22010066,outer
1,22010067,outer
1,22010068,outer
1,22010069,outer
1,22010070,outer
1,22010071,outer
1,22010072,outer
1,22010073,outer
1,22010074,outer
1,22010075,outer
1,22010076,outer
1,22010077,outer
1,22010078,outer
1,22010079,outer
1,22010080,outer
1,22010081,outer
1,22010082,outer
1,22010083,outer
1,22010084,outer
1,22010085,outer
1,22010086,outer
1,22010087,outer
1,22010088,outer
1,22010089,outer
1,22010090,outer
1,22010091,outer
1,22010092,outer
1,22010093,outer
1,22010094,outer
1,22010095,outer
1,22010096,outer
1,22010097,outer
1,22010098,outer
1,22010099,outer
1,22010100,outer
1,22010101,outer
1,22010102,outer
1,22010103,outer
